Category,Jan 2025,Feb 2025,Mar 2025,Apr 2025,5/1/25 0:00,Jun 2025,Nonzero Month Count,One Time Expense,Marginal Cost per $1 GP,Fixed Cost Estimate,R² Linear,Elasticity (Log-Log),Anchor Month Deviates from Trend ($),Model Status,Estimated Anchor Month Expense,Reconciled Anchor Month Expense,Estimated Future Expense,Mean Jan–May Expense,Mean Jan–June Expense,June vs Jan–May Avg ($),Ratio_Change_June_vs_MeanPrior,Expense vs Profit Growth Ratio,Best Performing (Cost Decline Rank),Efficiency Alert,Elasticity Classification,Margin Risk,Performance Diagnostic Assignment,Marketing Spend Efficiency,Ranking Priority
      617350 Business loan interest,0,0,0,0,1108,9972,2,FALSE,0,1846.666667,0,0,0,Insufficient-data,1846.666667,299.1801276,1846.666667,221.6,1846.666667,9750.4,44,23.37709841,,Below Threshold,Below Threshold,Below Threshold,Margin Risk – Investigate,,1
   Total 617300 Interest Expense,0,0,0,0,1372.56,9972,2,FALSE,0,1890.76,0,0,0,Insufficient-data,1890.76,306.3237282,1890.76,274.512,1890.76,9697.488,35.32628082,18.76877144,,Below Threshold,Below Threshold,Below Threshold,Margin Risk – Investigate,,2
   430000 Medical Services (PC),50,100,0,0,0,858.88,3,FALSE,0,168.1466667,0.0593,0,648.8950395,Clamped,168.1466667,27.2415927,168.1466667,30,168.1466667,828.88,27.62933333,14.67940101,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,3
      612300 Accounting fees,264.38,0,65,125,65,515,5,FALSE,0,172.3966667,0.093,0,313.3654098,Clamped,172.3966667,27.93013903,172.3966667,103.876,172.3966667,411.124,3.957834341,2.102788247,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,4
   611300 Dues & Subscriptions,0,100,0,288.55,0,450,3,FALSE,0.0031,94.97893251,0.3151,0,256.7773788,Modeled,194.5965645,31.52676444,194.5965645,77.71,139.7583333,372.29,4.79076052,2.545320003,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,5
   Unapplied Cash Payment Income,0,-220.02,0,0,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,-44.004,-36.67,44.004,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,6
   610600 Utilities,123.45,132.36,0,132.36,132.36,123.45,5,FALSE,0,107.33,0.0522,0,22.19477276,Clamped,107.33,17.38862984,107.33,104.106,107.33,19.344,0.185810616,0.098720751,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,7
   611200 Postage & Delivery,0,0,14.75,0,0,5.58,2,FALSE,0,3.388333333,0,0,0,Insufficient-data,3.388333333,0.548946931,3.388333333,2.95,3.388333333,2.63,0.891525424,0.473665399,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,8
      QuickBooks Payments Fees,0,2.94,0,0,0,2.2,2,FALSE,0,0.856666667,0,0,0,Insufficient-data,0.856666667,0.138789337,0.856666667,0.588,0.856666667,1.612,2.741496599,1.456550813,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,9
   610750 Internet Hosting & Connectivity,204.97,204.97,205,205,205,205,6,FALSE,0,204.99,0.0066,0,0.009365385,Clamped,204.99,33.21061428,204.99,204.988,204.99,0.012,5.854E-05,3.11022E-05,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,10
